country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,Region,Population,Pop. Density,GDP,Birthrate,Deathrate
Cote d'Ivoire,37.0,1.0,7.0,0.7965000000000001,AFRICA,17654843.0,54.75,1400.0,35.11,14.84
Croatia,230.0,87.0,254.0,10.1067,EASTERN EUROPE,4494749.0,79.49,10600.0,9.61,11.48
Cuba,93.0,137.0,5.0,4.1594999999999995,SOUTH AMERICA,11382820.0,102.68,2900.0,11.89,7.22
Cyprus,192.0,154.0,113.0,8.1243,NEAR EAST,784301.0,84.79,19200.0,12.56,7.68
Czech Republic,361.0,170.0,134.0,11.7705,EASTERN EUROPE,10235455.0,129.78,15700.0,9.02,10.59
Denmark,224.0,117.18744090611239,278.0,10.959617704038187,WESTERN EUROPE,5450661.0,126.48,31100.0,11.13,10.36
Djibouti,15.0,44.0,3.0,1.0974,AFRICA,486530.0,21.15,1300.0,39.53,19.31
Dominica,52.0,286.0,26.0,6.4428,SOUTH AMERICA,68910.0,91.39,5400.0,15.27,6.73
Dominican Republic,193.0,147.0,9.0,6.177300000000001,SOUTH AMERICA,9183984.0,188.47,6000.0,23.22,5.73
Ecuador,162.0,74.0,3.0,4.2303,SOUTH AMERICA,13547510.0,47.78,3300.0,22.29,4.23
Egypt,6.0,4.0,1.0,0.19469999999999998,AFRICA,78887007.0,78.77,4000.0,22.94,5.23
El Salvador,52.0,69.0,2.0,2.1771,SOUTH AMERICA,6822378.0,324.26,4800.0,26.61,5.78
Equatorial Guinea,92.0,0.0,233.0,5.7524999999999995,AFRICA,540109.0,19.25,2700.0,35.59,15.06
Eritrea,18.0,0.0,0.0,0.3186,AFRICA,4786994.0,39.46,700.0,34.33,9.6
Estonia,224.0,194.0,59.0,8.4429,EASTERN EUROPE,1324333.0,29.28,12300.0,10.04,13.25
Ethiopia,20.0,3.0,0.0,0.4071,AFRICA,74777981.0,66.34,700.0,37.98,14.86
Fiji,77.0,35.0,1.0,2.0000999999999998,OCEANIA,905949.0,49.59,5800.0,22.55,5.65
Finland,263.0,133.0,97.0,8.7261,WESTERN EUROPE,5231372.0,15.47,27400.0,10.45,9.86
France,127.0,151.0,370.0,11.4696,WESTERN EUROPE,60876136.0,111.28,27600.0,11.99,9.14
Gabon,347.0,98.0,59.0,8.9208,AFRICA,1424906.0,5.32,5500.0,36.16,12.25
Gambia,8.0,0.0,1.0,0.1593,AFRICA,1641564.0,145.27,1700.0,39.37,12.25
Georgia,52.0,100.0,149.0,5.3277,C.W. OF IND. STATES ,4661473.0,66.88,2500.0,10.41,9.23
Germany,346.0,117.0,175.0,11.2926,WESTERN EUROPE,82422299.0,230.86,27600.0,8.25,10.62
Ghana,31.0,3.0,10.0,0.7788,AFRICA,22409572.0,93.58,2200.0,30.52,9.72
Greece,133.0,112.0,218.0,8.1951,WESTERN EUROPE,10688058.0,81.01,20000.0,9.68,10.24
Grenada,199.0,438.0,28.0,11.7705,SOUTH AMERICA,89703.0,260.76,5000.0,22.08,6.88
Guatemala,53.0,69.0,2.0,2.1948,SOUTH AMERICA,12293545.0,112.9,4100.0,29.88,5.2
Guinea,9.0,0.0,2.0,0.19469999999999998,AFRICA,9690222.0,39.41,2100.0,41.76,15.48
Guinea-Bissau,28.0,31.0,21.0,1.416,AFRICA,1442029.0,39.92,800.0,37.22,16.53
Guyana,93.0,302.0,1.0,7.009200000000001,SOUTH AMERICA,767245.0,3.57,4000.0,18.28,8.28
Haiti,1.0,326.0,1.0,5.8056,SOUTH AMERICA,8308504.0,299.41,1600.0,36.44,12.17
Honduras,69.0,98.0,2.0,2.9913000000000003,SOUTH AMERICA,7326496.0,65.36,2600.0,28.24,5.28
Hungary,234.0,215.0,185.0,11.2218,EASTERN EUROPE,9981334.0,107.29,13900.0,9.72,13.11
Iceland,233.0,61.0,78.0,6.5844,WESTERN EUROPE,299388.0,2.91,30900.0,13.64,6.72
India,9.0,114.0,0.0,2.1771,ASIA,1095351995.0,333.18,2900.0,22.01,8.18
Indonesia,5.0,1.0,0.0,0.10620000000000002,ASIA,245452739.0,127.88,3200.0,20.34,6.25
Iran,0.0,0.0,0.0,0.0,ASIA,68688433.0,41.68,7000.0,17.0,5.55
Iraq,9.0,3.0,0.0,0.21239999999999998,NEAR EAST,26783383.0,61.28,1500.0,31.98,5.37
Ireland,313.0,118.0,165.0,10.549199999999999,WESTERN EUROPE,4062235.0,57.8,29600.0,14.45,7.82
Israel,63.0,69.0,9.0,2.4957000000000003,NEAR EAST,6352117.0,305.83,19800.0,17.97,6.18
Italy,85.0,42.0,237.0,6.4428,WESTERN EUROPE,58133509.0,192.99,26700.0,8.72,10.4
Jamaica,82.0,97.0,9.0,3.3276000000000003,SOUTH AMERICA,2758124.0,250.94,3900.0,20.82,6.52
Japan,77.0,202.0,16.0,5.2215,ASIA,127463611.0,337.35,28200.0,9.37,9.16
Jordan,6.0,21.0,1.0,0.49559999999999993,NEAR EAST,5906760.0,64.0,4300.0,21.25,2.65
Kazakhstan,124.0,246.0,12.0,6.7614,C.W. OF IND. STATES ,15233244.0,5.61,6300.0,16.0,9.42
Kenya,58.0,22.0,2.0,1.4514,AFRICA,34707817.0,59.57,1000.0,39.72,14.02
Kiribati,21.0,34.0,1.0,0.9912,OCEANIA,105432.0,130.0,800.0,30.65,8.26
Kuwait,0.0,0.0,0.0,0.0,NEAR EAST,2418393.0,135.71,19000.0,21.94,2.41
Kyrgyzstan,31.0,97.0,6.0,2.3718000000000004,C.W. OF IND. STATES ,5213898.0,26.27,1600.0,22.8,7.08
Laos,62.0,0.0,123.0,3.2744999999999997,ASIA,6368481.0,26.89,1700.0,35.49,11.55
Latvia,281.0,216.0,62.0,9.8943,EASTERN EUROPE,2274735.0,35.22,10200.0,9.24,13.66
Lebanon,20.0,55.0,31.0,1.8762,NEAR EAST,3874050.0,372.5,4800.0,18.52,6.21
Lesotho,82.0,29.0,0.0,1.9647000000000001,AFRICA,2022331.0,66.62,3000.0,24.75,28.71
Liberia,19.0,152.0,2.0,3.0621000000000005,AFRICA,3042004.0,27.31,1000.0,44.77,23.1
Libya,0.0,0.0,0.0,0.0,AFRICA,5900754.0,3.35,6400.0,26.49,3.48
Lithuania,343.0,244.0,56.0,11.3811,EASTERN EUROPE,3585906.0,55.0,11400.0,8.75,10.98
Luxembourg,236.0,133.0,271.0,11.328000000000001,WESTERN EUROPE,474413.0,183.45,55100.0,11.94,8.41
Macedonia,104.59813404058312,27.0,86.0,3.8514869725183214,EASTERN EUROPE,2050554.0,80.94,6700.0,12.02,8.77
Madagascar,26.0,15.0,4.0,0.7965,AFRICA,18595469.0,31.68,800.0,41.41,11.11
Malawi,8.0,11.0,1.0,0.354,AFRICA,13013926.0,109.84,600.0,43.13,19.33
Malaysia,13.0,4.0,0.0,0.30089999999999995,ASIA,24385858.0,73.95,9000.0,22.86,5.05
Maldives,0.0,0.0,0.0,0.0,ASIA,359008.0,1196.69,3900.0,34.81,7.06
Mali,5.0,1.0,1.0,0.12390000000000001,AFRICA,11716829.0,9.45,900.0,49.82,16.89
Malta,149.0,100.0,120.0,6.5313,WESTERN EUROPE,400214.0,1266.5,17700.0,10.22,8.1
Marshall Islands,0.0,0.0,0.0,0.0,OCEANIA,60422.0,5.1,1600.0,33.05,4.78
Mauritania,0.0,0.0,0.0,0.0,AFRICA,3177388.0,3.08,1800.0,40.99,12.16
Mauritius,98.0,31.0,18.0,2.6019,AFRICA,1240827.0,608.25,11400.0,15.43,6.86
Mexico,238.0,68.0,5.0,5.5047,SOUTH AMERICA,107449525.0,54.47,9000.0,20.69,4.74
Micronesia,62.0,50.0,18.0,2.301,OCEANIA,108004.0,153.85,2000.0,24.68,4.75
Moldova,109.0,226.0,18.0,6.248099999999999,C.W. OF IND. STATES ,4466706.0,131.98,1800.0,15.7,12.64
Monaco,0.0,0.0,0.0,0.0,WESTERN EUROPE,32543.0,16271.5,27000.0,9.19,12.91
Mongolia,77.0,189.0,8.0,4.8498,ASIA,2832224.0,1.81,1800.0,21.59,6.95
Morocco,12.0,6.0,10.0,0.49559999999999993,AFRICA,33241259.0,74.44,4000.0,21.98,5.58
Mozambique,47.0,18.0,5.0,1.2389999999999999,AFRICA,19686505.0,24.56,1200.0,35.18,21.35
Namibia,376.0,3.0,1.0,6.725999999999999,AFRICA,2044147.0,2.48,7200.0,24.32,18.86
Nauru,49.0,0.0,8.0,1.0089000000000001,OCEANIA,13287.0,632.71,5000.0,24.76,6.7
Nepal,5.0,6.0,0.0,0.19469999999999998,ASIA,28287147.0,192.19,1400.0,30.98,9.31
Netherlands,251.0,88.0,190.0,9.363299999999999,WESTERN EUROPE,16491461.0,397.14,28600.0,10.9,8.68
New Zealand,203.0,79.0,175.0,8.088899999999999,OCEANIA,4076140.0,15.17,21600.0,13.76,7.53
Nicaragua,78.0,118.0,1.0,3.4869000000000003,SOUTH AMERICA,5570129.0,43.01,2300.0,24.51,4.45
Niger,3.0,2.0,1.0,0.10619999999999999,AFRICA,12525094.0,9.89,800.0,50.73,20.91
Nigeria,42.0,5.0,2.0,0.8673,AFRICA,131859731.0,142.74,900.0,40.43,16.94
North Korea,0.0,0.0,0.0,0.0,ASIA,23113019.0,191.75,1300.0,15.54,7.13
Norway,169.0,71.0,129.0,6.5313,WESTERN EUROPE,4610820.0,14.24,37800.0,11.46,9.4
Oman,22.0,16.0,1.0,0.6902999999999999,NEAR EAST,3102229.0,14.6,13100.0,36.24,3.81
Pakistan,0.0,0.0,0.0,0.0,ASIA,165803560.0,206.24,2100.0,29.74,8.23
Palau,306.0,63.0,23.0,6.9384,OCEANIA,20579.0,44.93,9000.0,18.03,6.8
Panama,285.0,104.0,18.0,7.2039,SOUTH AMERICA,3191319.0,40.81,6300.0,21.74,5.36
Papua New Guinea,44.0,39.0,1.0,1.4868000000000001,OCEANIA,5670544.0,12.25,2200.0,29.36,7.25
Paraguay,213.0,117.0,74.0,7.1508,SOUTH AMERICA,6506464.0,16.0,4700.0,29.1,4.49
Peru,163.0,160.0,21.0,6.088800000000001,SOUTH AMERICA,28302603.0,22.02,5100.0,20.48,6.23
Philippines,71.0,186.0,1.0,4.5666,ASIA,89468677.0,298.23,4600.0,24.89,5.41
Poland,343.0,215.0,56.0,10.8678,EASTERN EUROPE,38536869.0,123.25,11100.0,9.85,9.89
Portugal,194.0,67.0,339.0,10.62,WESTERN EUROPE,10605870.0,114.79,18000.0,10.72,10.5
Qatar,1.0,42.0,7.0,0.885,NEAR EAST,885359.0,77.41,21500.0,15.56,4.72
Romania,297.0,122.0,167.0,10.3722,EASTERN EUROPE,22303552.0,93.91,7000.0,10.7,11.77
Russian Federation,247.0,326.0,73.0,11.4342,C.W. OF IND. STATES ,142893540.0,8.37,8900.0,9.95,14.65
Rwanda,43.0,2.0,0.0,0.7965,AFRICA,8648248.0,328.36,1300.0,40.37,16.09
Samoa,105.0,18.0,24.0,2.6018999999999997,OCEANIA,176908.0,60.09,5600.0,16.43,6.62
San Marino,0.0,0.0,0.0,0.0,WESTERN EUROPE,29251.0,479.52,34600.0,10.02,8.17
Sao Tome & Principe,56.0,38.0,140.0,4.1418,AFRICA,193413.0,193.22,1200.0,40.25,6.47
Saudi Arabia,0.0,5.0,0.0,0.08850000000000001,NEAR EAST,27019731.0,13.78,11800.0,29.34,2.58
Senegal,9.0,1.0,7.0,0.3009,AFRICA,11987121.0,61.1,1600.0,32.78,9.42
Seychelles,157.0,25.0,51.0,4.1241,AFRICA,81541.0,179.21,7800.0,16.03,6.29
Sierra Leone,25.0,3.0,2.0,0.531,AFRICA,6005250.0,83.71,500.0,45.76,23.03
Singapore,60.0,12.0,11.0,1.4690999999999999,ASIA,4492150.0,6482.18,23700.0,9.34,4.28
Slovakia,196.0,293.0,116.0,10.7085,EASTERN EUROPE,5439448.0,111.36,13300.0,10.65,9.45
Slovenia,270.0,51.0,276.0,10.5669,EASTERN EUROPE,2010347.0,99.16,19000.0,8.98,10.31
Solomon Islands,56.0,11.0,1.0,1.2035999999999998,OCEANIA,552438.0,19.42,1700.0,30.01,3.92
Somalia,0.0,0.0,0.0,0.0,AFRICA,8863338.0,13.9,500.0,45.13,16.63
South Africa,225.0,76.0,81.0,6.7614,AFRICA,44187637.0,36.22,10700.0,18.2,22.0
South Korea,140.0,16.0,9.0,2.9204999999999997,ASIA,48846823.0,496.01,17800.0,10.0,5.85
Spain,284.0,157.0,112.0,9.7881,WESTERN EUROPE,40397842.0,80.03,22000.0,10.06,9.72
Sri Lanka,16.0,104.0,0.0,2.1239999999999997,ASIA,20222240.0,308.22,3700.0,15.51,6.52
Sudan,8.0,13.0,0.0,0.3717,AFRICA,41236378.0,16.46,1900.0,34.53,8.97
Suriname,128.0,178.0,7.0,5.5401,SOUTH AMERICA,439117.0,2.69,4000.0,18.02,7.27
Swaziland,90.0,2.0,2.0,1.6638000000000002,AFRICA,1136334.0,65.45,4900.0,27.41,29.74
Sweden,152.0,60.0,186.0,7.0446,WESTERN EUROPE,9016596.0,20.04,26800.0,10.27,10.31
Switzerland,185.0,100.0,280.0,10.000499999999999,WESTERN EUROPE,7523934.0,182.22,32700.0,9.71,8.49
Syria,5.0,35.0,16.0,0.9911999999999999,NEAR EAST,18881361.0,101.96,3300.0,27.76,4.81
Tajikistan,2.0,15.0,0.0,0.3009,C.W. OF IND. STATES ,7320815.0,51.16,1000.0,32.65,8.25
Tanzania,36.0,6.0,1.0,0.7611,AFRICA,37445392.0,39.62,600.0,37.71,16.39
Thailand,99.0,258.0,1.0,6.336600000000001,ASIA,64631595.0,125.74,7400.0,13.87,7.04
Togo,36.0,2.0,19.0,1.0089,AFRICA,5548702.0,97.71,1500.0,37.01,9.83
Tonga,36.0,21.0,5.0,1.0974,OCEANIA,114689.0,153.33,2200.0,25.37,5.28
Trinidad & Tobago,197.0,156.0,7.0,6.372,SOUTH AMERICA,1065842.0,207.85,9500.0,12.9,10.57
Tunisia,51.0,3.0,20.0,1.3097999999999999,AFRICA,10175014.0,62.19,6900.0,15.52,5.13
Turkey,51.0,22.0,7.0,1.416,NEAR EAST,70413958.0,90.21,6700.0,16.62,5.97
Turkmenistan,19.0,71.0,32.0,2.1594,C.W. OF IND. STATES ,5042920.0,10.33,5800.0,27.61,8.6
Tuvalu,6.0,41.0,9.0,0.9912,OCEANIA,11810.0,454.23,1100.0,22.18,7.11
Uganda,45.0,9.0,0.0,0.9558,AFRICA,28195754.0,119.45,1400.0,47.35,12.24
Ukraine,206.0,237.0,45.0,8.637599999999999,C.W. OF IND. STATES ,46710816.0,77.37,5400.0,8.82,14.39
United Arab Emirates,16.0,135.0,5.0,2.7612,NEAR EAST,2602713.0,31.4,23200.0,18.96,4.4
United Kingdom,219.0,126.0,195.0,9.558,WESTERN EUROPE,60609153.0,247.57,27700.0,10.71,10.13
Uruguay,115.0,35.0,220.0,6.5489999999999995,SOUTH AMERICA,3431932.0,19.48,12800.0,13.91,9.05
USA,249.0,158.0,84.0,8.6907,NORTHERN AMERICA,298444215.0,30.99,37800.0,14.14,8.26
Uzbekistan,25.0,101.0,8.0,2.3718,C.W. OF IND. STATES ,27307134.0,61.04,1700.0,26.36,7.84
Vanuatu,21.0,18.0,11.0,0.885,OCEANIA,208869.0,17.12,2900.0,22.72,7.82
Venezuela,333.0,100.0,3.0,7.7172,SOUTH AMERICA,25730435.0,28.21,4800.0,18.71,4.92
Vietnam,111.0,2.0,1.0,2.0178,ASIA,84402966.0,256.11,2500.0,16.86,6.22
Yemen,6.0,0.0,0.0,0.10619999999999999,NEAR EAST,21456188.0,40.64,800.0,42.89,8.3
Zambia,32.0,19.0,4.0,0.9735,AFRICA,11502010.0,15.28,800.0,41.0,19.93
Zimbabwe,64.0,18.0,4.0,1.5222,AFRICA,12236805.0,31.33,1900.0,28.01,21.84
